macc_mode,cap_scenario,msr_level,year,kau_krw,static_krw,eua_krw,gap_krw,bank_Mt,intake_Mt,release_Mt,abate_Mt,auction_rev_trillion,cbam_cost_trillion
step,ideal,L1,2033,265676,50000000,250500,-15176,373.3,39.73,0.0,190.1,76.313,0.0
step,ideal,L1,2034,280697,50000000,274500,-6197,357.1,38.79,0.0,193.6,88.7,0.0
step,ideal,L1,2035,296568,50000000,298500,1932,299.3,36.85,0.0,162.0,88.674,0.03
step,ideal,L1,2036,313336,50000000,322500,9164,229.6,29.91,0.0,153.3,88.988,0.14
step,ideal,L1,2037,331053,50000000,346500,15447,164.6,21.56,0.0,158.6,89.384,0.236
step,ideal,L1,2038,349771,50000000,370500,20729,104.9,13.75,0.0,164.5,89.891,0.317
step,ideal,L1,2039,369547,409357,394500,24953,49.9,6.59,0.0,170.3,90.169,0.381
step,ideal,L1,2040,390441,423074,418500,28059,0.0,0.0,0.0,176.2,90.582,0.429
step,ideal,L2,2026,189414,34254,123000,-66414,196.1,5.4,0.0,175.2,2.401,0.0
step,ideal,L2,2027,200123,83154,132000,-68123,276.7,28.11,0.0,175.2,4.773,0.0
step,ideal,L2,2028,211438,141513,142500,-68938,320.6,42.6,0.0,175.2,9.472,0.0
step,ideal,L2,2029,223393,161369,159000,-64393,333.5,50.51,0.0,175.2,21.01,0.0
step,ideal,L2,2030,236024,50000000,178500,-57524,321.8,52.83,0.0,175.2,44.529,0.0
step,ideal,L2,2031,249369,50000000,202500,-46869,317.2,50.72,0.0,179.0,56.283,0.0
step,ideal,L2,2032,263468,50000000,226500,-36968,304.6,49.89,0.0,182.7,68.165,0.0
step,ideal,L2,2033,278365,50000000,250500,-27865,288.9,47.62,0.0,190.1,79.958,0.0
step,ideal,L2,2034,294104,50000000,274500,-19604,269.1,44.8,0.0,196.0,92.937,0.0
step,ideal,L2,2035,310733,50000000,298500,-12233,246.6,41.23,0.0,201.7,92.909,0.0
step,ideal,L2,2036,328302,50000000,322500,-5802,221.3,37.19,0.0,204.9,93.238,0.0
step,ideal,L2,2037,346864,50000000,346500,-364,175.1,32.63,0.0,188.6,93.653,0.0
step,ideal,L2,2038,366476,50000000,370500,4024,111.3,24.31,0.0,170.9,94.184,0.061
step,ideal,L2,2039,387197,50000000,394500,7303,51.5,12.84,0.0,171.7,94.476,0.112
step,ideal,L2,2040,409089,424205,418500,9411,0.0,2.07,0.0,176.7,94.909,0.144
step,ideal,L3,2026,191896,34581,123000,-68896,191.9,9.6,0.0,175.2,2.432,0.0
step,ideal,L3,2027,202746,84481,132000,-70746,261.7,38.87,0.0,175.2,4.835,0.0
step,ideal,L3,2028,214209,143442,142500,-71709,292.7,55.61,0.0,175.2,9.597,0.0
step,ideal,L3,2029,226321,167711,159000,-67321,293.4,62.7,0.0,175.2,21.285,0.0
step,ideal,L3,2030,239117,50000000,178500,-60617,276.1,58.35,0.0,175.2,45.113,0.0
step,ideal,L3,2031,252637,50000000,202500,-50137,266.7,55.5,0.0,179.0,57.02,0.0
step,ideal,L3,2032,266921,50000000,226500,-40421,251.4,52.8,0.0,182.9,69.058,0.0
step,ideal,L3,2033,282013,50000000,250500,-31513,233.2,50.1,0.0,190.1,81.005,0.0
step,ideal,L3,2034,297958,50000000,274500,-23458,210.8,47.4,0.0,196.0,94.155,0.0
step,ideal,L3,2035,314805,50000000,298500,-16305,186.3,43.39,0.0,201.9,94.127,0.0
step,ideal,L3,2036,332605,50000000,322500,-10105,163.1,37.51,0.0,207.4,94.46,0.0
step,ideal,L3,2037,351410,50000000,346500,-4910,138.3,31.95,0.0,209.2,94.881,0.0
step,ideal,L3,2038,371279,50000000,370500,-779,99.2,25.99,0.0,197.3,95.419,0.0
step,ideal,L3,2039,392271,50000000,394500,2229,47.8,16.6,0.0,183.9,95.714,0.034
step,ideal,L3,2040,414451,426921,418500,4049,0.0,4.27,0.0,182.6,96.153,0.062
step,ideal,L3C,2026,191896,34581,123000,-68896,191.9,9.6,0.0,175.2,2.432,0.0
step,ideal,L3C,2027,202746,84481,132000,-70746,261.7,38.87,0.0,175.2,4.835,0.0
step,ideal,L3C,2028,214209,143442,142500,-71709,292.7,55.61,0.0,175.2,9.597,0.0
step,ideal,L3C,2029,226321,167711,159000,-67321,293.4,62.7,0.0,175.2,21.285,0.0
step,ideal,L3C,2030,239117,50000000,178500,-60617,276.1,58.35,0.0,175.2,45.113,0.0
step,ideal,L3C,2031,252637,50000000,202500,-50137,266.7,55.5,0.0,179.0,57.02,0.0
step,ideal,L3C,2032,266921,50000000,226500,-40421,251.4,52.8,0.0,182.9,69.058,0.0
step,ideal,L3C,2033,282013,50000000,250500,-31513,233.2,50.1,0.0,190.1,81.005,0.0
step,ideal,L3C,2034,297958,50000000,274500,-23458,210.8,47.4,0.0,196.0,94.155,0.0
step,ideal,L3C,2035,314805,50000000,298500,-16305,186.3,43.39,0.0,201.9,94.127,0.0
step,ideal,L3C,2036,332605,50000000,322500,-10105,163.1,37.51,0.0,207.4,94.46,0.0
step,ideal,L3C,2037,351410,50000000,346500,-4910,138.3,31.95,0.0,209.2,94.881,0.0
step,ideal,L3C,2038,371279,50000000,370500,-779,99.2,25.99,0.0,197.3,95.419,0.0
step,ideal,L3C,2039,392271,50000000,394500,2229,47.8,16.6,0.0,183.9,95.714,0.034
step,ideal,L3C,2040,414451,426921,418500,4049,0.0,4.27,0.0,182.6,96.153,0.062
step,ideal,L4,2026,192088,34899,123000,-69088,190.7,10.8,0.0,175.2,2.435,0.0
step,ideal,L4,2027,202949,84594,132000,-70949,259.6,39.78,0.0,175.2,4.84,0.0
step,ideal,L4,2028,214423,143549,142500,-71923,289.8,56.3,0.0,175.2,9.606,0.0
step,ideal,L4,2029,226547,167711,159000,-67547,290.5,62.7,0.0,175.2,21.307,0.0
step,ideal,L4,2030,239356,50000000,178500,-60856,273.3,58.35,0.0,175.2,45.158,0.0
step,ideal,L4,2031,252890,50000000,202500,-50390,263.9,55.5,0.0,179.0,57.077,0.0
step,ideal,L4,2032,267188,50000000,226500,-40688,248.6,52.8,0.0,183.0,69.127,0.0
step,ideal,L4,2033,282295,50000000,250500,-31795,230.5,50.1,0.0,190.1,81.086,0.0
step,ideal,L4,2034,298256,50000000,274500,-23756,208.1,47.4,0.0,196.0,94.249,0.0
step,ideal,L4,2035,315120,50000000,298500,-16620,183.0,43.94,0.0,201.9,94.221,0.0
step,ideal,L4,2036,332937,50000000,322500,-10437,159.5,37.92,0.0,207.4,94.554,0.0
step,ideal,L4,2037,351761,50000000,346500,-5261,135.0,32.28,0.0,209.9,94.976,0.0
step,ideal,L4,2038,371650,50000000,370500,-1150,97.9,26.39,0.0,199.7,95.514,0.0
step,ideal,L4,2039,392663,50000000,394500,1837,47.7,17.49,0.0,186.0,95.81,0.028
step,ideal,L4,2040,414865,50000000,418500,3635,0.0,5.45,0.0,183.9,96.249,0.056
step,ideal,L_EU,2026,192602,39914,123000,-69602,184.8,16.8,0.0,175.2,2.441,0.0
step,ideal,L_EU,2027,203491,122657,132000,-71491,249.0,44.34,0.0,175.2,4.853,0.0
step,ideal,L_EU,2028,214997,144112,142500,-72497,275.8,59.77,0.0,175.2,9.632,0.0
step,ideal,L_EU,2029,227153,167708,159000,-68153,276.5,62.7,0.0,175.2,21.364,0.0
step,ideal,L_EU,2030,239996,50000000,178500,-61496,259.3,58.35,0.0,175.2,45.279,0.0
step,ideal,L_EU,2031,253566,50000000,202500,-51066,249.9,55.5,0.0,179.0,57.23,0.0
step,ideal,L_EU,2032,267903,50000000,226500,-41403,234.8,52.8,0.0,183.2,69.312,0.0
step,ideal,L_EU,2033,283050,50000000,250500,-32550,216.7,50.1,0.0,190.1,81.303,0.0
step,ideal,L_EU,2034,299054,50000000,274500,-24554,194.3,47.4,0.0,196.0,94.501,0.0
step,ideal,L_EU,2035,315963,50000000,298500,-17463,168.3,44.85,0.0,201.9,94.473,0.0
step,ideal,L_EU,2036,333827,50000000,322500,-11327,142.4,40.4,0.0,207.5,94.807,0.0
step,ideal,L_EU,2037,352702,50000000,346500,-6202,117.3,34.18,0.0,211.2,95.23,0.0
step,ideal,L_EU,2038,372644,50000000,370500,-2144,84.2,28.15,0.0,205.4,95.77,0.0
step,ideal,L_EU,2039,393714,50000000,394500,786,37.8,20.2,0.0,192.5,96.066,0.012
step,ideal,L_EU,2040,415975,423074,418500,2525,0.0,0.0,0.0,188.3,96.506,0.039
step,ideal,L_C,2026,131611,33830,123000,-8611,191.0,0.0,0.0,164.7,1.668,0.0
step,ideal,L_C,2027,139053,53168,132000,-7053,288.3,0.0,0.0,163.8,3.316,0.0
step,ideal,L_C,2028,146915,54917,142500,-4415,359.6,0.0,0.0,160.0,6.582,0.0
step,ideal,L_C,2029,155221,149825,159000,3779,375.2,0.0,0.0,127.4,14.599,0.058
step,ideal,L_C,2030,163998,176334,178500,14502,361.3,0.0,0.0,120.2,30.941,0.222
step,ideal,L_C,2031,173270,199296,202500,29230,352.1,0.0,0.0,123.6,39.107,0.447
step,ideal,L_C,2032,183067,225134,226500,43433,333.6,0.0,0.0,127.0,47.363,0.664
step,ideal,L_C,2033,193418,250032,250500,57082,307.2,0.0,0.0,131.7,55.557,0.872
step,ideal,L_C,2034,204354,274868,274500,70146,272.6,0.0,0.0,136.4,64.576,1.072
step,ideal,L_C,2035,215908,299795,298500,82592,232.3,0.0,0.0,142.7,64.557,1.262
step,ideal,L_C,2036,228116,324513,322500,94384,189.8,0.0,0.0,150.6,64.785,1.442
step,ideal,L_C,2037,241014,349173,346500,105486,144.2,0.0,0.0,156.5,65.074,1.612
step,ideal,L_C,2038,254641,373742,370500,115859,98.3,0.0,0.0,164.5,65.443,1.771
step,ideal,L_C,2039,269038,398478,394500,125462,49.9,0.0,0.0,170.3,65.645,1.917
step,ideal,L_C,2040,284250,423074,418500,134250,0.0,0.0,0.0,176.2,65.946,2.052
step,ideal,L_QB,2026,193619,33830,123000,-70619,201.5,0.0,0.0,175.2,2.454,0.0
step,ideal,L_QB,2027,204567,53168,132000,-72567,310.2,0.0,0.0,175.2,4.879,0.0
step,ideal,L_QB,2028,216133,54917,142500,-73633,396.7,0.0,0.0,175.2,9.683,0.0
step,ideal,L_QB,2029,228353,149825,159000,-69353,460.1,0.0,0.0,175.2,21.477,0.0
step,ideal,L_QB,2030,241264,176334,178500,-62764,501.2,0.0,0.0,175.2,45.518,0.0
step,ideal,L_QB,2031,254906,199296,202500,-52406,547.4,0.0,0.0,179.0,57.532,0.0
step,ideal,L_QB,2032,269318,225134,226500,-42818,585.5,0.0,0.0,183.6,69.678,0.0
step,ideal,L_QB,2033,284546,250032,250500,-34046,617.4,0.0,0.0,190.1,81.733,0.0
step,ideal,L_QB,2034,300634,274868,274500,-26134,642.4,0.0,0.0,196.0,95.0,0.0
step,ideal,L_QB,2035,317632,50000000,298500,-19132,511.8,149.5,0.0,201.9,94.972,0.0
step,ideal,L_QB,2036,335591,50000000,322500,-13091,384.5,142.0,0.0,207.7,95.308,0.0
step,ideal,L_QB,2037,354566,50000000,346500,-8066,259.9,135.0,0.0,212.6,95.733,0.0
step,ideal,L_QB,2038,374613,50000000,370500,-4113,134.3,128.5,0.0,213.2,96.276,0.0
step,ideal,L_QB,2039,395794,50000000,394500,-1294,0.0,122.0,0.0,206.4,96.574,0.0
step,ideal,L_QB,2040,50000000,50000000,418500,-49581500,0.0,116.0,0.0,231.2,11600.0,0.0
exponential,base,L0,2026,9077,8860,123000,113923,72.1,0.0,0.0,26.5,0.456,1.741
exponential,base,L0,2027,9591,9929,132000,122409,69.1,0.0,0.0,33.4,0.628,1.871
exponential,base,L0,2028,10133,11073,142500,132367,60.8,0.0,0.0,40.3,0.807,2.023
exponential,base,L0,2029,10706,12298,159000,148294,47.5,0.0,0.0,47.6,0.989,2.266
exponential,base,L0,2030,11311,13675,178500,167189,29.3,0.0,0.0,55.1,1.176,2.555
exponential,base,L0,2031,11951,13816,202500,190549,15.4,0.0,0.0,62.6,1.218,2.912
exponential,base,L0,2032,12626,13949,226500,213874,5.8,0.0,0.0,70.1,1.261,3.269
exponential,base,L0,2033,13340,14075,250500,237160,0.7,0.0,0.0,77.6,1.305,3.624
exponential,base,L0,2034,14095,14192,274500,260405,0.0,0.0,0.0,85.1,1.352,3.98
exponential,base,L0,2035,14300,14300,298500,284200,0.0,0.0,0.0,88.8,1.344,4.343
exponential,base,L0,2036,14400,14400,322500,308100,0.0,0.0,0.0,91.7,1.326,4.709
exponential,base,L0,2037,14492,14492,346500,332008,0.0,0.0,0.0,94.5,1.308,5.074
exponential,base,L0,2038,14575,14575,370500,355925,0.0,0.0,0.0,97.3,1.289,5.439
exponential,base,L0,2039,14649,14649,394500,379851,0.0,0.0,0.0,100.0,1.27,5.805
exponential,base,L0,2040,14715,14715,418500,403785,0.0,0.0,0.0,102.7,1.25,6.171
exponential,base,L1,2026,10336,11188,123000,112664,62.8,2.4,0.0,37.9,0.519,1.722
exponential,base,L1,2027,10920,12200,132000,121080,52.1,1.53,0.0,45.0,0.716,1.85
exponential,base,L1,2028,11538,13264,142500,130962,38.8,0.26,0.0,52.5,0.918,2.001
exponential,base,L1,2029,12190,14592,159000,146810,21.5,0.0,0.0,60.0,1.126,2.244
exponential,base,L1,2030,12879,16115,178500,165621,0.0,0.0,0.0,67.5,1.339,2.531
exponential,base,L1,2031,11216,11216,202500,191284,0.0,0.0,20.0,56.5,1.143,2.923
exponential,base,L1,2032,11324,11324,226500,215176,0.0,0.0,20.0,59.7,1.131,3.288
exponential,base,L1,2033,11548,11426,250500,238952,1.0,0.0,20.0,63.8,1.13,3.652
exponential,base,L1,2034,12201,11521,274500,262299,6.5,0.0,20.0,71.3,1.17,4.009
exponential,base,L1,2035,12890,12956,298500,285610,6.0,0.0,9.47,78.8,1.211,4.365
exponential,base,L1,2036,13619,14400,322500,308881,0.7,0.0,0.0,86.3,1.254,4.721
exponential,base,L1,2037,14389,14492,346500,332111,0.0,0.0,0.0,93.8,1.299,5.076
exponential,base,L1,2038,14575,14575,370500,355925,0.0,0.0,0.0,97.3,1.289,5.439
exponential,base,L1,2039,14649,14649,394500,379851,0.0,0.0,0.0,100.0,1.27,5.805
exponential,base,L1,2040,14715,14715,418500,403785,0.0,0.0,0.0,102.7,1.25,6.171
exponential,base,L2,2026,10484,11544,123000,112516,61.0,5.4,0.0,39.1,0.526,1.72
exponential,base,L2,2027,11076,12490,132000,120924,49.5,3.78,0.0,46.4,0.726,1.848
exponential,base,L2,2028,11703,13466,142500,130797,36.0,1.71,0.0,53.9,0.932,1.999
exponential,base,L2,2029,12364,14592,159000,146636,20.1,0.0,0.0,61.4,1.143,2.241
exponential,base,L2,2030,13064,16115,178500,165436,0.0,0.0,0.0,68.9,1.358,2.528
exponential,base,L2,2031,11216,11216,202500,191284,0.0,0.0,20.0,56.5,1.143,2.923
exponential,base,L2,2032,11324,11324,226500,215176,0.0,0.0,20.0,59.7,1.131,3.288
exponential,base,L2,2033,11426,11426,250500,239074,0.0,0.0,20.0,62.8,1.118,3.654
exponential,base,L2,2034,12021,11521,274500,262479,4.1,0.0,20.0,69.9,1.153,4.011
exponential,base,L2,2035,12701,12082,298500,285799,8.9,0.0,16.17,77.4,1.194,4.368
exponential,base,L2,2036,13419,14400,322500,309081,2.1,0.0,0.0,84.9,1.236,4.724
exponential,base,L2,2037,14178,14492,346500,332322,0.0,0.0,0.0,92.4,1.28,5.079
exponential,base,L2,2038,14575,14575,370500,355925,0.0,0.0,0.0,97.3,1.289,5.439
exponential,base,L2,2039,14649,14649,394500,379851,0.0,0.0,0.0,100.0,1.27,5.805
exponential,base,L2,2040,14715,14715,418500,403785,0.0,0.0,0.0,102.7,1.25,6.171
exponential,base,L3,2026,10710,12060,123000,112290,58.7,9.6,0.0,41.0,0.538,1.716
exponential,base,L3,2027,11316,12900,132000,120684,46.1,6.89,0.0,48.4,0.741,1.844
exponential,base,L3,2028,11955,13773,142500,130545,32.5,3.87,0.0,55.9,0.952,1.995
exponential,base,L3,2029,12631,14685,159000,146369,18.1,0.61,0.0,63.4,1.167,2.237
exponential,base,L3,2030,13346,16115,178500,165154,0.0,0.0,0.0,71.0,1.387,2.524
exponential,base,L3,2031,11216,11216,202500,191284,0.0,0.0,20.0,56.5,1.143,2.923
exponential,base,L3,2032,11324,11324,226500,215176,0.0,0.0,20.0,59.7,1.131,3.288
exponential,base,L3,2033,11426,11426,250500,239074,0.0,0.0,20.0,62.8,1.118,3.654
exponential,base,L3,2034,11710,11521,274500,262790,1.6,0.0,20.0,67.4,1.123,4.016
exponential,base,L3,2035,12372,11609,298500,286128,7.7,0.0,20.0,74.9,1.163,4.373
exponential,base,L3,2036,13071,13493,322500,309429,4.6,0.0,6.24,82.4,1.204,4.729
exponential,base,L3,2037,13810,14492,346500,332690,0.0,0.0,0.0,89.9,1.246,5.084
exponential,base,L3,2038,14575,14575,370500,355925,0.0,0.0,0.0,97.3,1.289,5.439
exponential,base,L3,2039,14649,14649,394500,379851,0.0,0.0,0.0,100.0,1.27,5.805
exponential,base,L3,2040,14715,14715,418500,403785,0.0,0.0,0.0,102.7,1.25,6.171
exponential,base,L3C,2026,10710,12060,123000,112290,58.7,9.6,0.0,41.0,0.538,1.716
exponential,base,L3C,2027,11316,12900,132000,120684,46.1,6.89,0.0,48.4,0.741,1.844
exponential,base,L3C,2028,11955,13773,142500,130545,32.5,3.87,0.0,55.9,0.952,1.995
exponential,base,L3C,2029,12631,14685,159000,146369,18.1,0.61,0.0,63.4,1.167,2.237
exponential,base,L3C,2030,13346,16115,178500,165154,0.0,0.0,0.0,71.0,1.387,2.524
exponential,base,L3C,2031,11216,11216,202500,191284,0.0,0.0,20.0,56.5,1.143,2.923
exponential,base,L3C,2032,11324,11324,226500,215176,0.0,0.0,20.0,59.7,1.131,3.288
exponential,base,L3C,2033,11654,11426,250500,238846,1.9,0.0,20.0,64.7,1.14,3.65
exponential,base,L3C,2034,12313,11521,274500,262187,8.3,0.0,20.0,72.2,1.181,4.007
exponential,base,L3C,2035,13009,13534,298500,285491,4.5,0.0,5.28,79.7,1.223,4.363
exponential,base,L3C,2036,13744,14400,322500,308756,0.0,0.0,0.0,87.2,1.266,4.719
exponential,base,L3C,2037,14492,14492,346500,332008,0.0,0.0,0.0,94.5,1.308,5.074
exponential,base,L3C,2038,14575,14575,370500,355925,0.0,0.0,0.0,97.3,1.289,5.439
exponential,base,L3C,2039,14649,14649,394500,379851,0.0,0.0,0.0,100.0,1.27,5.805
exponential,base,L3C,2040,14715,14715,418500,403785,0.0,0.0,0.0,102.7,1.25,6.171
exponential,base,L4,2026,10810,12212,123000,112190,58.3,10.8,0.0,41.8,0.543,1.715
exponential,base,L4,2027,11421,13050,132000,120579,45.5,7.99,0.0,49.3,0.748,1.843
exponential,base,L4,2028,12067,13925,142500,130433,31.8,4.92,0.0,56.8,0.961,1.993
exponential,base,L4,2029,12749,14841,159000,146251,17.2,1.63,0.0,64.3,1.178,2.235
exponential,base,L4,2030,13470,16115,178500,165030,0.0,0.0,0.0,71.8,1.4,2.522
exponential,base,L4,2031,11216,11216,202500,191284,0.0,0.0,20.0,56.5,1.143,2.923
exponential,base,L4,2032,11324,11324,226500,215176,0.0,0.0,20.0,59.7,1.131,3.288
exponential,base,L4,2033,11426,11426,250500,239074,0.0,0.0,20.0,62.8,1.118,3.654
exponential,base,L4,2034,11965,11521,274500,262535,3.6,0.0,20.0,69.4,1.147,4.012
exponential,base,L4,2035,12642,11859,298500,285858,9.8,0.0,17.95,76.9,1.188,4.369
exponential,base,L4,2036,13357,14400,322500,309143,2.5,0.0,0.0,84.5,1.23,4.725
exponential,base,L4,2037,14112,14492,346500,332388,0.0,0.0,0.0,92.0,1.274,5.08
exponential,base,L4,2038,14575,14575,370500,355925,0.0,0.0,0.0,97.3,1.289,5.439
exponential,base,L4,2039,14649,14649,394500,379851,0.0,0.0,0.0,100.0,1.27,5.805
exponential,base,L4,2040,14715,14715,418500,403785,0.0,0.0,0.0,102.7,1.25,6.171
exponential,base,L_EU,2026,10526,13000,123000,112474,50.0,16.8,0.0,39.5,0.528,1.719
exponential,base,L_EU,2027,11121,12256,132000,120879,40.6,1.97,0.0,46.8,0.729,1.847
exponential,base,L_EU,2028,11750,13228,142500,130750,29.3,0.0,0.0,54.3,0.935,1.998
exponential,base,L_EU,2029,12414,14592,159000,146586,13.8,0.0,0.0,61.8,1.147,2.24
exponential,base,L_EU,2030,13116,15138,178500,165384,0.0,0.0,6.0,69.3,1.364,2.528
exponential,base,L_EU,2031,12978,12978,202500,189522,0.0,0.0,6.0,70.5,1.322,2.896
exponential,base,L_EU,2032,13104,13104,226500,213396,0.0,0.0,6.0,73.7,1.308,3.261
exponential,base,L_EU,2033,13396,13360,250500,237104,0.3,0.0,5.0,78.0,1.311,3.624
exponential,base,L_EU,2034,14153,14192,274500,260347,0.0,0.0,0.0,85.5,1.357,3.979
exponential,base,L_EU,2035,14300,14300,298500,284200,0.0,0.0,0.0,88.8,1.344,4.343
exponential,base,L_EU,2036,14400,14400,322500,308100,0.0,0.0,0.0,91.7,1.326,4.709
exponential,base,L_EU,2037,14492,14492,346500,332008,0.0,0.0,0.0,94.5,1.308,5.074
exponential,base,L_EU,2038,14575,14575,370500,355925,0.0,0.0,0.0,97.3,1.289,5.439
exponential,base,L_EU,2039,14649,14649,394500,379851,0.0,0.0,0.0,100.0,1.27,5.805
exponential,base,L_EU,2040,14715,14715,418500,403785,0.0,0.0,0.0,102.7,1.25,6.171
exponential,base,L_C,2026,10286,10912,123000,112714,64.7,0.0,0.0,37.4,0.516,1.723
exponential,base,L_C,2027,10868,12007,132000,121132,55.2,0.0,0.0,44.5,0.712,1.851
exponential,base,L_C,2028,11482,13228,142500,131018,41.6,0.0,0.0,52.1,0.914,2.002
exponential,base,L_C,2029,12131,14592,159000,146869,23.9,0.0,0.0,59.6,1.121,2.245
exponential,base,L_C,2030,12817,16115,178500,165683,1.9,0.0,0.0,67.1,1.333,2.532
exponential,base,L_C,2031,13542,13816,202500,188958,0.0,0.0,0.0,74.6,1.38,2.888
exponential,base,L_C,2032,13949,13949,226500,212551,0.0,0.0,0.0,79.7,1.393,3.248
exponential,base,L_C,2033,14075,14075,250500,236425,0.0,0.0,0.0,82.8,1.377,3.613
exponential,base,L_C,2034,14192,14192,274500,260308,0.0,0.0,0.0,85.8,1.361,3.978
exponential,base,L_C,2035,14300,14300,298500,284200,0.0,0.0,0.0,88.8,1.344,4.343
exponential,base,L_C,2036,14400,14400,322500,308100,0.0,0.0,0.0,91.7,1.326,4.709
exponential,base,L_C,2037,14492,14492,346500,332008,0.0,0.0,0.0,94.5,1.308,5.074
exponential,base,L_C,2038,14575,14575,370500,355925,0.0,0.0,0.0,97.3,1.289,5.439
exponential,base,L_C,2039,14649,14649,394500,379851,0.0,0.0,0.0,100.0,1.27,5.805
exponential,base,L_C,2040,14715,14715,418500,403785,0.0,0.0,0.0,102.7,1.25,6.171
exponential,base,L_QB,2026,10913,10912,123000,112087,70.0,0.0,0.0,42.7,0.548,1.713
exponential,base,L_QB,2027,11530,12007,132000,120470,66.1,0.0,0.0,50.2,0.756,1.841
exponential,base,L_QB,2028,12182,13228,142500,130318,58.2,0.0,0.0,57.7,0.97,1.992
exponential,base,L_QB,2029,12871,14592,159000,146129,46.2,0.0,0.0,65.2,1.189,2.233
exponential,base,L_QB,2030,13599,16115,178500,164901,29.9,0.0,0.0,72.8,1.414,2.52
exponential,base,L_QB,2031,14367,13816,202500,188133,33.7,0.0,0.0,80.3,1.464,2.875
exponential,base,L_QB,2032,15180,13949,226500,211320,41.8,0.0,0.0,87.8,1.516,3.23
exponential,base,L_QB,2033,16038,14075,250500,234462,54.3,0.0,0.0,95.3,1.569,3.583
exponential,base,L_QB,2034,16945,14192,274500,257555,71.3,0.0,0.0,102.8,1.625,3.936
exponential,base,L_QB,2035,17903,23339,298500,280597,45.9,46.99,0.0,110.3,1.682,4.288
exponential,base,L_QB,2036,18915,23273,322500,303585,26.0,46.05,0.0,117.8,1.742,4.64
exponential,base,L_QB,2037,19985,23198,346500,326515,11.7,45.13,0.0,125.3,1.804,4.99
exponential,base,L_QB,2038,21115,23112,370500,349385,3.0,44.22,0.0,132.9,1.868,5.34
exponential,base,L_QB,2039,22308,23017,394500,372192,0.0,43.34,0.0,140.4,1.934,5.688
exponential,base,L_QB,2040,22912,22912,418500,395588,0.0,42.47,0.0,145.2,1.946,6.046
exponential,middle,L0,2026,9731,8860,123000,113269,78.2,0.0,0.0,32.6,0.488,1.731
exponential,middle,L0,2027,10282,10051,132000,121718,80.2,0.0,0.0,40.4,0.714,1.86
exponential,middle,L0,2028,10863,11304,142500,131637,76.4,0.0,0.0,48.8,0.944,2.012
exponential,middle,L0,2029,11477,12553,159000,147523,67.8,0.0,0.0,57.3,1.18,2.255
exponential,middle,L0,2030,12126,13956,178500,166374,54.3,0.0,0.0,65.8,1.42,2.543
exponential,middle,L0,2031,12812,14593,202500,189688,41.8,0.0,0.0,74.3,1.546,2.899
exponential,middle,L0,2032,13536,15275,226500,212964,30.2,0.0,0.0,82.9,1.675,3.255
exponential,middle,L0,2033,14301,15841,250500,236199,20.4,0.0,0.0,91.4,1.812,3.61
exponential,middle,L0,2034,15110,16446,274500,259390,12.3,0.0,0.0,99.9,1.953,3.964
exponential,middle,L0,2035,15964,17092,298500,282536,5.8,0.0,0.0,108.4,2.097,4.318
exponential,middle,L0,2036,16867,17597,322500,305633,1.7,0.0,0.0,116.9,2.252,4.671
exponential,middle,L0,2037,17820,18136,346500,328680,0.0,0.0,0.0,125.5,2.358,5.023
exponential,middle,L0,2038,18709,18709,370500,351791,0.0,0.0,0.0,133.4,2.45,5.376
exponential,middle,L0,2039,19318,19318,394500,375182,0.0,0.0,0.0,139.7,2.499,5.734
exponential,middle,L0,2040,19759,19759,418500,398741,0.0,0.0,0.0,145.1,2.53,6.094
exponential,middle,L1,2026,10495,11204,123000,112505,64.0,2.4,0.0,39.2,0.527,1.719
exponential,middle,L1,2027,11089,12352,132000,120911,53.6,1.68,0.0,47.5,0.77,1.848
exponential,middle,L1,2028,11715,13562,142500,130785,39.6,0.43,0.0,56.0,1.018,1.999
exponential,middle,L1,2029,12378,14885,159000,146622,21.9,0.0,0.0,64.5,1.273,2.241
exponential,middle,L1,2030,13078,16429,178500,165422,0.0,0.0,0.0,73.1,1.532,2.528
exponential,middle,L1,2031,12247,11847,202500,190253,3.2,0.0,20.0,70.0,1.478,2.908
exponential,middle,L1,2032,12940,12401,226500,213560,7.3,0.0,20.0,78.5,1.601,3.264
exponential,middle,L1,2033,13671,12860,250500,236829,13.1,0.0,20.0,87.1,1.732,3.619
exponential,middle,L1,2034,14444,13351,274500,260056,20.7,0.0,20.0,95.6,1.867,3.974
exponential,middle,L1,2035,15261,17091,298500,283239,9.8,0.0,0.01,104.1,2.005,4.329
exponential,middle,L1,2036,16124,15891,322500,306376,11.2,0.0,9.78,112.6,2.153,4.682
exponential,middle,L1,2037,17036,18136,346500,329464,5.2,0.0,0.0,121.1,2.254,5.035
exponential,middle,L1,2038,17999,18709,370500,352501,1.5,0.0,0.0,129.7,2.357,5.387
exponential,middle,L1,2039,19017,19318,394500,375483,0.0,0.0,0.0,138.2,2.46,5.738
exponential,middle,L1,2040,19759,19759,418500,398741,0.0,0.0,0.0,145.1,2.53,6.094
exponential,middle,L2,2026,10649,11560,123000,112351,62.2,5.4,0.0,40.5,0.535,1.717
exponential,middle,L2,2027,11251,12656,132000,120749,51.0,4.01,0.0,48.9,0.781,1.845
exponential,middle,L2,2028,11887,13782,142500,130613,36.8,1.97,0.0,57.4,1.033,1.996
exponential,middle,L2,2029,12560,14885,159000,146440,20.5,0.0,0.0,65.9,1.291,2.238
